"Refs","Value","Footprint","Qty","DNP"
"A1","RaspberryPi_Pico","Module:RaspberryPi_Pico_Common_Unspecified","1",""
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"D1","WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","1",""
"J1","Controller Input","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","1",""
"J2","Output","Connector_Dsub:DSUB-15_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm","1",""
"R1","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"RN1","R_Network06","Resistor_THT:R_Array_SIP7","1",""
"SW1","SW_Wuerth_450301014042","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","1",""
"SW2","SW_Push","Button_Switch_THT:SW_PUSH_6mm","1",""
"U1","SN74AVC4T245PW","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","1",""
"U2","SN74LVC8T245","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","1",""
